CIUDAD,AÑO,VS15
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2005,Si
Bogotá,2005,No
Bogotá,2005,No
Bogotá,2005,Si
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
Bogotá,2006,NA
